model,layer,variant,stopped_epoch,mse,variance_explained,logitlens_acc,ce_id,ce_sae,ce_zero,loss_recovered
llama,21,soft,16,0.04296565420013278,0.9340219830320501,0.3472714891390494,2.6950748385573364,3.750916921711129,11.748746498949686,0.8834761163437235
llama,22,soft,16,0.053680929682329966,0.9200150297991355,0.36202014450488995,2.6950748385573364,3.81693486411308,11.748746498949686,0.876181380342327
llama,23,soft,11,0.06677164082894811,0.9036968979978531,0.390755688244935,2.6954599901605096,3.8842155952074084,11.74935749955756,0.8688296594766123
llama,24,soft,16,0.07981554030371502,0.8885887104013576,0.409249697986319,2.6950748385573364,3.9291370944937327,11.748746498949686,0.8638081018857406
llama,25,soft,16,0.09490334422547773,0.8721598612042529,0.41561506913612545,2.6950748385573364,3.9751124255545895,11.748746498949686,0.8587238882219216
llama,26,soft,16,0.11369348674410458,0.8530302697224099,0.45377074660859795,2.6950748385573364,4.078876848150599,11.748746498949686,0.8472781714980251
llama,27,soft,11,0.13500810324756282,0.8329599044616283,0.49593531905725563,2.6954599901605096,4.114469376870754,11.74935749955756,0.8434217994028059
llama,28,soft,11,0.1647147501444167,0.8077832905742476,0.5308400212371404,2.6954599901605096,4.270886975227183,11.74935749955756,0.826218431239075
llama,29,soft,12,0.20159107249294156,0.7815040517420526,0.5592216126376375,2.6953916703857312,4.645113696368526,11.749600240649118,0.7848703460714814
llama,30,soft,8,0.26572190804698365,0.7412441879660624,0.4986015035279815,2.6953428576649916,4.686347250328945,11.750391463592925,0.7803476906232827
llama,31,soft,10,0.44393299032217415,0.6146991498041795,0.40861489215995567,2.695677453235971,5.927620954555597,11.753331648533022,0.6434418959932885
